GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
empleados,com.example.empleados.domain,Empleado,19,31,0,0,8,13,4,9,4,9
empleados,com.example.empleados.dto,EmpleadoUpdateRequest,0,12,0,0,0,1,0,1,0,1
empleados,com.example.empleados.dto,EmpleadoResponse,0,15,0,0,0,1,0,1,0,1
empleados,com.example.empleados.dto,EmpleadoCreateRequest,0,12,0,0,0,1,0,1,0,1
empleados,com.example.empleados.mapper,EmpleadoMapper,0,15,0,0,0,6,0,2,0,2
empleados,com.example.empleados.exception,ClaveGeneracionException,0,4,0,0,0,2,0,1,0,1
empleados,com.example.empleados.exception,GlobalExceptionHandler,0,69,0,0,0,21,0,5,0,5
empleados,com.example.empleados.exception,EmpleadoNotFoundException,0,5,0,0,0,2,0,1,0,1
empleados,com.example.empleados.config,OpenApiConfig,38,0,0,0,11,0,2,0,2,0
empleados,com.example.empleados.config,SecurityConfig,0,64,0,0,0,13,0,5,0,5
empleados,com.example.empleados.service,ClaveEmpleadoGenerator,0,36,1,5,0,8,1,4,0,2
empleados,com.example.empleados.service,EmpleadoService,0,85,0,0,0,21,0,7,0,7
empleados,com.example.empleados.controller,EmpleadoController,0,77,0,0,0,18,0,6,0,6
empleados,com.example.empleados,EmpleadosApplication,5,3,0,0,2,1,1,1,1,1
